"Station","TTArrTime","ArrFlag","Loop","TTDepTime","DepFlag","Secn","TTHaltTime","MinHaltTime","TTRunTime","MinRunTime","TrainID","Priority"
"Kilo",2016-04-16 09:06:00,"P",0,2016-04-16 09:11:00,"P",0,5,5,12,10,10001,1
"Juliet",2016-04-16 09:23:00,"P",0,2016-04-16 09:28:00,"P",0,5,5,12,10,10001,1
"India",2016-04-16 09:40:00,"P",0,2016-04-16 09:45:00,"P",0,5,5,12,10,10001,1
"Hotel",2016-04-16 09:57:00,"P",0,2016-04-16 10:02:00,"P",0,5,5,12,10,10001,1
"Golf",2016-04-16 10:14:00,"P",0,2016-04-16 10:19:00,"P",0,5,5,12,10,10001,1
"Foxtrot",2016-04-16 10:31:00,"P",0,2016-04-16 10:36:00,"P",0,5,5,12,10,10001,1
"Echo",2016-04-16 10:48:00,"P",0,2016-04-16 10:53:00,"P",0,5,5,12,10,10001,1
"Delta",2016-04-16 11:05:00,"P",0,2016-04-16 11:10:00,"P",0,5,5,12,10,10001,1
"Charlie",2016-04-16 11:22:00,"P",0,2016-04-16 11:27:00,"P",0,5,5,12,10,10001,1
"Bravo",2016-04-16 11:39:00,"P",0,2016-04-16 11:44:00,"P",0,5,5,12,10,10001,1
"Alpha",2016-04-16 11:56:00,"P",0,2016-04-16 12:01:00,"P",0,5,5,0,0,10001,1
"Alpha",2016-04-17 08:26:00,"P",0,2016-04-17 08:31:00,"P",0,5,5,12,10,10002,1
"Bravo",2016-04-17 08:43:00,"P",0,2016-04-17 08:48:00,"P",0,5,5,12,10,10002,1
"Charlie",2016-04-17 09:00:00,"P",0,2016-04-17 09:05:00,"P",0,5,5,12,10,10002,1
"Delta",2016-04-17 09:17:00,"P",0,2016-04-17 09:22:00,"P",0,5,5,12,10,10002,1
"Echo",2016-04-17 09:34:00,"P",0,2016-04-17 09:39:00,"P",0,5,5,12,10,10002,1
"Foxtrot",2016-04-17 09:51:00,"P",0,2016-04-17 09:56:00,"P",0,5,5,12,10,10002,1
"Golf",2016-04-17 10:08:00,"P",0,2016-04-17 10:13:00,"P",0,5,5,12,10,10002,1
"Hotel",2016-04-17 10:25:00,"P",0,2016-04-17 10:30:00,"P",0,5,5,12,10,10002,1
"India",2016-04-17 10:42:00,"P",0,2016-04-17 10:47:00,"P",0,5,5,12,10,10002,1
"Juliet",2016-04-17 10:59:00,"P",0,2016-04-17 11:04:00,"P",0,5,5,12,10,10002,1
"Kilo",2016-04-17 11:16:00,"P",0,2016-04-17 11:21:00,"P",0,5,5,0,0,10002,1
"Kilo",2016-04-17 07:52:00,"P",0,2016-04-17 07:57:00,"P",0,5,5,12,10,10003,1
"Juliet",2016-04-17 08:09:00,"P",0,2016-04-17 08:14:00,"P",0,5,5,12,10,10003,1
"India",2016-04-17 08:26:00,"P",0,2016-04-17 08:31:00,"P",0,5,5,12,10,10003,1
"Hotel",2016-04-17 08:43:00,"P",0,2016-04-17 08:48:00,"P",0,5,5,12,10,10003,1
"Golf",2016-04-17 09:00:00,"P",0,2016-04-17 09:05:00,"P",0,5,5,12,10,10003,1
"Foxtrot",2016-04-17 09:17:00,"P",0,2016-04-17 09:22:00,"P",0,5,5,12,10,10003,1
"Echo",2016-04-17 09:34:00,"P",0,2016-04-17 09:39:00,"P",0,5,5,12,10,10003,1
"Delta",2016-04-17 09:51:00,"P",0,2016-04-17 09:56:00,"P",0,5,5,12,10,10003,1
